"","","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards","Vehicle standards"
"Country","Year"," Seat-belts"," Seat-belt anchorages"," Frontal impact"," Side impact"," Electronic stability control"," Pedestrian protection"," Child seats"
"Rwanda"," 2013","No","No","No","No","No","No","No"
"Saint Lucia"," 2013","No","No","No","No","No","No","No"
"Saint Vincent and the Grenadines"," 2013","No","No","No","No","No","No","No"
"Samoa"," 2013","No","No","No","No","No","No","No"
"San Marino"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sao Tome and Principe"," 2013","No","No","No","No","No","No","No"
"Saudi Arabia"," 2013","No","No","No","No","No","No","No"
"Senegal"," 2013","No","No","No","No","No","No","No"
"Serbia"," 2013","No","No","No","No","No","No","No"
"Seychelles"," 2013","No","No","No","No","No","No","No"
"Sierra Leone"," 2013","No","No","No","No","No","No","No"
"Singapore"," 2013","No","No","No","No","No","No","No"
"Slovakia"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Slovenia"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Solomon Islands"," 2013","No","No","No","No","No","No","No"
"Somalia"," 2013","No","No","No","No","No","No","No"
"South Africa"," 2013","No","Yes","No","No","Yes","Yes","Yes"
"Spain"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sri Lanka"," 2013","No","No","No","No","No","No","No"
"Sudan"," 2013","No","No","No","No","No","No","No"
"Suriname"," 2013","No","No","No","No","No","No","No"
"Sweden"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Switzerland"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Tajikistan"," 2013","No","No","No","No","No","No","No"
"Thailand"," 2013","No","No","No","No","No","Yes","No"
"Republic of North Macedonia"," 2013","No","No","No","No","No","No","No"
"Timor-Leste"," 2013","No","No","No","No","No","No","No"
"Togo"," 2013","No","No","No","No","No","No","No"
"Tonga"," 2013","No","No","No","No","No","No","No"
"Trinidad and Tobago"," 2013","No","No","No","No","No","No","No"
"Tunisia"," 2013","No","No","No","No","No","No","No"
"Turkey"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Turkmenistan"," 2013","No","No","No","No","No","No","No"
"Uganda"," 2013","No","No","No","No","No","No","No"
"United Arab Emirates"," 2013","No","No","No","No","No","No","No"
"United Kingdom of Great Britain and Northern Ireland"," 2013","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"United Republic of Tanzania"," 2013","No","No","No","No","No","No","No"
"United States of America"," 2013","Yes","Yes","Yes","Yes ","Yes","No","Yes"
"Uruguay"," 2013","Yes","Yes","No","No","No","No","Yes"
"Uzbekistan"," 2013","No","No","No","No","No","No","No"
"Vanuatu"," 2013","No","No","No","No","No","No","No"
"Viet Nam"," 2013","No","No","No","No","No","No","No"
"Yemen"," 2013","No","No","No","No","No","No","No"
"Zambia"," 2013","No","No","No","No","No","No","No"
"Zimbabwe"," 2013","No","No","No","No","No","No","No"
